"datePublished","fullText","id"
"1879-06-01","323. Washingtonia.-The name Washingtonia, which was proposed by Kellogg to displace Lindley's Wellingtonia, and both of which had to give way before Endlicher's Sequoia, is now proposed for a Palm which has hitherto been referred to two different genera. This Palm, first known as Brahea filifera and then as Pritchardia filifera, is believed by Mr. Hermann Wendland (Botanische Zeitung), to possess sufficient differences to constitute it a species of a genus different from that of Pritchardra, and which he would name, as above stated, Washingtonia.","http://www.jstor.org/stable/2475725"
"1961-05-01",,"http://www.jstor.org/stable/2482709"
"1889-09-19",,"http://www.jstor.org/stable/2476461"
"1982-04-01",,"http://www.jstor.org/stable/2996250"
"1939-12-01",,"http://www.jstor.org/stable/2480799"
"1935-04-01",,"http://www.jstor.org/stable/2481202"
"1908-12-01",,"http://www.jstor.org/stable/2479092"
"1887-02-01",,"http://www.jstor.org/stable/2476177"
"1880-03-01",,"http://www.jstor.org/stable/2476664"
"1915-01-01",,"http://www.jstor.org/stable/2479417"
"1956-03-01",,"http://www.jstor.org/stable/2482925"
"1979-10-01",,"http://www.jstor.org/stable/2560367"
"1912-06-01",,"http://www.jstor.org/stable/2478986"
"1902-07-01",,"http://www.jstor.org/stable/2478549"
"1875-02-01","? 12. Silphium--Are Silphium integrifolium and S. trifolia- tum, now regarded as two distinct species or only varieties of one ? I am inclined to the view that they are only varieties. While botanizing on the Western prairies, I have often found two varieties so varying in their characters as to render it very difficult to deter- mine where they should be placed-whether under S. integrifolium or S. trifoliatum as described by Gray. In 1866, on the prairies of Kansas, I found eighteen stalks or stems growing from one and the same root. Eleven of these stems had their leaves all opposite in pairs. Seven of them were trifoliate from the lowest to the upper- most leaves. Stems grooved, rather rough, but not 4-angular save a few which were very slightly so: about 5? high : panicle loose: achenia not answering perfectly to the description of either of the above mentioned species. GEO. SCARBOROUGH. VINELAND, N. J.","http://www.jstor.org/stable/2477137"
"1872-07-01",,"http://www.jstor.org/stable/2475609"
"1963-07-01",,"http://www.jstor.org/stable/2483229"
"1957-03-01",,"http://www.jstor.org/stable/2482790"
"1943-09-01",,"http://www.jstor.org/stable/2481389"
"1982-01-01",,"http://www.jstor.org/stable/2484472"
"1947-03-01",,"http://www.jstor.org/stable/2481471"
"1948-01-01",,"http://www.jstor.org/stable/2482145"
"1924-11-01",,"http://www.jstor.org/stable/2480192"
"1888-06-02",,"http://www.jstor.org/stable/2477344"
"1888-04-02",,"http://www.jstor.org/stable/2476473"
"1971-07-01",,"http://www.jstor.org/stable/2483692"
"1980-10-01",,"http://www.jstor.org/stable/2484085"
"1883-09-01",,"http://www.jstor.org/stable/2477464"
"1969-03-01",,"http://www.jstor.org/stable/2483334"
"1994-01-01",,"http://www.jstor.org/stable/2996886"
"1969-05-01",,"http://www.jstor.org/stable/2483747"
"1954-07-01",,"http://www.jstor.org/stable/2997146"
